iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
0, -0.982,0.0,0,0.0,0.0,7016.68,1.0,0.345259,0.00145926,0.0,0.0,0,942.478,0,0,0.333331,-1.74846e-07
10, -0.782,0.0,10,0.0,0.0,7016.68,1.0,0.345259,0.00145926,0.0,0.0,70.0,2406.39,0,0,0.333331,-1.74846e-07
20, -0.582,0.0,20,0.0,0.0,7016.68,1.0,0.345259,0.00145926,0.0,0.0,70.0,5595.71,0,0,0.333331,-1.74846e-07
30, -0.382,0.0,30,0.0,0.0,7016.68,1.0,0.345259,0.00145926,0.0,0.0,70.0,9583.95,0,0,0.333331,-1.74846e-07
40, -0.182,0.0,40,0.0,0.0,7016.68,1.0,0.345259,0.00145926,0.0,0.0,70.0,9583.95,0,0,0.333331,-1.74846e-07
50, 0.038,0.0,50,0.0,0.000488281,7016.68,1.0,0.345261,0.00178667,5.10488e-05,0.1698,70.0,9568.71,0,0,0.333331,-1.74846e-07
60, 0.238,0.0,0,0.0,0.125977,7016.81,1.0,0.345375,-0.00454395,-1.3938e-05,3.38838,333,942.478,0,0,0.333331,5.51383e-05
70, 0.44,0.0,0,0.0,0.416992,7017.1,1.0,0.345375,0.00140199,-0.00314168,6.92565,333,942.478,0,0,0.33333,0.000188176
80, 0.642,0.0,0,0.0,0.905273,7017.59,1.0,0.345364,-0.00166432,-0.00581776,10.5548,333,1307.58,0,0,0.33333,0.000365559
90, 0.842,0.0,0,0.0,1.59717,7018.28,1.0,0.345325,-0.00169016,-0.00714041,14.3852,333,1762.79,0,0,0.333328,0.000642602
100, 1.044,0.0,0,0.0,2.52393,7019.21,1.0,0.345278,-0.00169788,-0.00980541,18.6688,333,2255.22,0,0,0.333327,0.00102503
110, 1.244,0.0,0,0.0,3.69775,7020.38,1.0,0.345226,-0.00165106,-0.011991,23.7624,333,2899.46,0,0,0.333325,0.00148231
120, 1.444,0.0,0,0.0,5.19336,7021.88,1.0,0.345131,-0.00177564,-0.0138104,30.2334,333,3839.76,0,0,0.332778,0.00207073
130, 1.644,0.0,0,0.0,7.06152,7023.74,1.0,0.34491,-0.00843905,-0.0124442,36.2474,333,5756.62,0,0,0.331965,0.00296432
140, 1.844,0.0,0,0.0,9.15479,7025.84,1.0,0.344645,-0.0016195,-0.0168905,39.1632,333,3100.54,0,0,0.331091,0.00388271
150, 2.05,0.0,0,0.0,11.5195,7028.2,2.0,0.34457,-0.00751439,0.0336616,42.4512,333,4851.33,0,0,0.329427,0.00459892
160, 2.27,0.0,0,0.0,14.2051,7030.89,2.0,0.344385,0.00127759,0.434442,45.4216,333,3966.95,0,0,0.334599,-0.0193207
170, 2.49,0.0,0,0.0,17.126,7033.81,2.0,0.34428,-0.00515166,0.220047,49.8771,333,5697.34,0,0,0.349341,-0.0419399
180, 2.71,0.0,0,0.0,20.2842,7036.97,2.0,0.344059,-0.00179248,-0.168135,53.8883,333,4113.35,0,0,0.365343,-0.0339438
190, 2.93,0.0,0,0.0,23.7222,7040.4,2.0,0.343807,-0.00529977,-0.101573,57.964,333,6853.89,0,0,0.377122,-0.021795
200, 3.15,0.0,0,0.0,27.4232,2.42322,2.0,0.343594,-0.00189499,-0.0726215,63.0341,333,4789.7,0,0,0.385807,-0.0136987
210, 3.37,0.0,0,0.0,31.4586,6.45862,2.0,0.343267,-0.00546639,-0.0287957,69.0452,333,5271.36,0,0,0.391219,-0.00808352
220, 3.59,0.0,0,0.0,35.8717,10.8717,3.0,0.342836,-0.00862474,0.00911977,75.3651,333,5767.93,0,0,0.394409,-0.00342729
230, 3.81,0.0,0,0.0,40.644,15.644,3.0,0.342302,-0.0100173,0.223453,79.4784,333,6216.23,0,0,0.398079,-0.0148821
240, 4.03,0.0,0,0.0,45.6038,20.6038,3.0,0.342094,-0.00170582,-0.0838028,83.4417,333,6264.43,0,0,0.421924,-0.0533323
250, 4.25,0.0,0,0.0,50.8982,25.8982,3.0,0.341675,-0.00888419,-0.390383,90.1767,333,6927.97,0,0,0.465462,-0.0666155
260, 4.47,0.0,0,0.0,56.532,31.532,3.0,0.341074,-0.00826383,0.223113,93.4333,333,6711.46,0,0,0.502417,-0.0324415
270, 4.69,0.0,0,0.0,62.3394,37.3394,3.0,0.340805,-0.00495484,0.230469,96.681,333,7501.1,0,0,0.520557,-0.0113409
280, 4.91,0.0,0,0.0,68.2627,43.2627,3.0,0.340483,-0.00843348,0.144107,94.8187,333,6744.68,0,0,0.526172,3.35356e-05
290, 5.13,0.0,0,0.0,74.1294,49.1294,3.0,0.340809,-0.0031727,0.12862,97.248,333,7542.98,0,0,0.521737,0.0137203
300, 5.35,0.0,0,0.0,80.1625,55.1625,3.0,0.340429,-0.00466755,0.0942301,100.121,333,7192.06,0,0,0.508586,0.0209242
310, 5.57,0.0,0,0.0,86.3512,61.3512,3.0,0.34016,-0.00513748,0.0284062,102.509,333,7954.74,0,0,0.489998,0.0251787
320, 5.79,0.0,0,0.0,92.7043,67.7043,3.0,0.339888,-0.00512285,-0.0615254,105.358,333,7564.42,0,0,0.46945,0.0233938
330, 6.01,0.0,0,0.0,99.2054,74.2054,3.0,0.339582,-0.00653084,-0.0189052,105.793,333,6717.14,0,0,0.449023,0.0226283
340, 6.23,0.0,0,0.0,105.645,80.6449,3.0,0.339779,0.00449119,-0.0591681,106.703,333,7661.17,0,0,0.429329,0.0217357
350, 6.45,0.0,0,0.0,112.235,87.2351,3.0,0.339434,-0.00701466,-0.0324087,109.075,333,8451.63,0,0,0.409725,0.0210746
360, 6.67,0.0,0,0.0,118.988,93.9884,3.0,0.33914,-0.00520017,0.065554,111.848,333,8024.98,0,0,0.390519,0.0218658
370, 6.89,0.0,0,0.0,125.887,100.887,3.0,0.338839,-0.00518487,0.00656177,114.018,333,8774.77,0,0,0.371647,0.0204973
380, 7.11,0.0,0,0.0,132.935,107.935,4.0,0.338558,-0.0050959,-0.00634844,116.538,333,8357.0,0,0,0.353117,0.0195523
390, 7.33,0.0,0,0.0,139.985,114.985,4.0,0.338423,0.00512579,-1.34661,114.818,333,8894.13,0,0,0.350977,-0.0357048
400, 7.55,0.0,0,0.0,147.071,122.071,4.0,0.338507,-0.00519908,-0.767801,117.224,333,8403.45,0,0,0.396688,-0.0749708
410, 7.77,0.0,0,0.0,154.269,129.269,4.0,0.338194,-0.00505023,0.276206,119.072,333,9124.13,0,0,0.469857,-0.0650846
420, 7.99,0.0,0,0.0,161.608,136.608,6.0,0.337942,-0.00507334,1.2478,121.24,333,8690.13,0,0,0.51259,-0.0102457
430, 8.19,0.0,0,0.0,168.278,143.278,6.0,0.337816,0.00390636,-1.58109,118.996,333,8506.16,0,0,0.539355,-0.0670853
